pinanol(1)
experiment no. 0,0.565235947,0.8317126,0.565235947
experiment no. 1,0.737632664,0.8317126,0.737632664
experiment no. 2,0.837367724,0.8317126,0.837367724
experiment no. 3,0.208524057,0.8317126,0.208524057
experiment no. 4,0.460630249,0.8317126,0.460630249
experiment no. 5,0.59505834,0.8317126,0.59505834
experiment no. 6,0.045449861,0.8317126,0.045449861
experiment no. 7,0.071744676,0.8317126,0.071744676
experiment no. 8,0.17937157,0.8317126,0.17937157
experiment no. 9,0.200617627,0.8317126,0.200617627
experiment no. 10,0.328235566,0.8317126,0.328235566
experiment no. 11,0.475277399,0.8317126,0.475277399
experiment no. 12,0.456048122,0.5300799,0.456048122
experiment no. 13,0.640342928,0.5300799,0.640342928
experiment no. 14,0.827768985,0.5300799,0.827768985
experiment no. 15,0.220617333,0.5300799,0.220617333
experiment no. 16,0.631336358,0.5300799,0.631336358
experiment no. 17,0.712788688,0.5300799,0.712788688
experiment no. 18,0.910761131,0.5300799,0.910761131
experiment no. 19,0.14023624,0.5300799,0.14023624
experiment no. 20,0.373914384,0.5300799,0.373914384
experiment no. 21,0.17797459,0.5300799,0.17797459
experiment no. 22,0.575436673,0.5300799,0.575436673
experiment no. 23,0.686178862,0.5300799,0.686178862
experiment no. 24,0.910757454,0.5300799,0.910757454
experiment no. 25,0.446238802,0.5300799,0.446238802
experiment no. 26,0.80236603,0.5300799,0.80236603
experiment no. 27,0.096407725,0.5300799,0.096407725
experiment no. 28,0.319663968,0.5300799,0.319663968
experiment no. 29,0.450616251,0.8486744,0.450616251
experiment no. 30,0.082533787,0.8486744,0.082533787
experiment no. 31,0.221174148,0.8486744,0.221174148
experiment no. 32,0.616265296,0.8486744,0.616265296
experiment no. 33,0.51085959,0.8486744,0.51085959
experiment no. 34,0.857306844,0.8486744,0.857306844

ISOLINALOOL
experiment no. 0,0.018525795,1.639751E-16,0.018525795
experiment no. 1,0.01108681,9.448401E-17,0.01108681
experiment no. 2,0.006468501,6.404167E-17,0.006468501
experiment no. 3,0.030719154,3.016816E-15,0.030719154
experiment no. 4,0.027542197,1.885363E-15,0.027542197
experiment no. 5,0.021483714,1.431738E-15,0.021483714
experiment no. 6,0.028960115,3.545358E-14,0.028960115
experiment no. 7,0.031238611,3.875003E-14,0.031238611
experiment no. 8,0.039489338,2.211116E-14,0.039489338
experiment no. 9,0.031688684,6.885848E-15,0.031688684
experiment no. 10,0.03105754,5.725048E-15,0.03105754
experiment no. 11,0.029102589,4.03944E-15,0.029102589
experiment no. 12,0.027599454,2.318484E-15,0.027599454
experiment no. 13,0.01893843,1.453959E-15,0.01893843
experiment no. 14,0.007229856,7.109839E-16,0.007229856
experiment no. 15,0.038484369,2.458205E-14,0.038484369
experiment no. 16,0.020875748,7.494185E-15,0.020875748
experiment no. 17,0.013054364,3.567967E-16,0.013054364
experiment no. 18,0.002023397,9.937811E-17,0.002023397
experiment no. 19,0.045438552,9.038663E-14,0.045438552
experiment no. 20,0.040495401,6.178358E-14,0.040495401
experiment no. 21,0.029416416,2.113065E-15,0.029416416
experiment no. 22,0.02326427,1.12843E-15,0.02326427
experiment no. 23,0.00995935,3.641743E-17,0.00995935
experiment no. 24,0.001309428,1.10075E-17,0.001309428
experiment no. 25,0.024631031,3.255855E-16,0.024631031
experiment no. 26,0.008274974,1.082253E-16,0.008274974
experiment no. 27,0.034091714,1.908411E-14,0.034091714
experiment no. 28,0.037271123,9.795473E-15,0.037271123
experiment no. 29,0.023524521,5.224042E-16,0.023524521
experiment no. 30,0.013927577,1.152289E-15,0.013927577
experiment no. 31,0.016864529,2.360615E-16,0.016864529
experiment no. 32,0.015861638,1.304215E-16,0.015861638
experiment no. 33,0.014887325,2.406616E-17,0.014887325
experiment no. 34,0.00372567,7.853507E-18,0.00372567

LINALOOL
experiment no. 0,0.314938514,7.786773E-14,0.314938514
experiment no. 1,0.20994386,4.476297E-14,0.20994386
experiment no. 2,0.136647093,3.007354E-14,0.136647093
experiment no. 3,0.475027973,1.166576E-12,0.475027973
experiment no. 4,0.394528976,7.221779E-13,0.394528976
